date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,2744704.373081593,2275630.2927360567,3522432.516764212,total,total,7,ElasticNetForecaster
2026-03-12,2647290.1373459273,2179976.4725568914,3837326.8300351985,total,total,7,ElasticNetForecaster
2026-03-13,2607469.3570246836,2138395.2766791475,3797506.049713955,total,total,7,ElasticNetForecaster
2026-03-14,2551755.96448916,2087940.065773578,3495083.045749966,total,total,7,ElasticNetForecaster
2026-03-15,2265096.792515192,1795759.5640731698,3437682.0913889348,total,total,7,ElasticNetForecaster
2026-03-16,2194957.89670513,1709776.9282546064,3138284.977965936,total,total,7,ElasticNetForecaster
2026-03-17,2161748.0319454875,1674198.7306265882,2978961.8911472196,total,total,7,ElasticNetForecaster
2026-03-11,2744704.373081593,2280538.6977586653,3917289.6719553354,total,total,14,ElasticNetForecaster
2026-03-12,2647290.1373459273,2159740.836027028,3416063.045663938,total,total,14,ElasticNetForecaster
2026-03-13,2607469.3570246836,2122551.536670646,3780054.655898426,total,total,14,ElasticNetForecaster
2026-03-14,2551755.96448916,2084442.2997001242,3469609.9104596395,total,total,14,ElasticNetForecaster
2026-03-15,2265096.792515192,1777547.491196293,3455133.4852044634,total,total,14,ElasticNetForecaster
2026-03-16,2194957.89670513,1704734.103816582,3138284.977965936,total,total,14,ElasticNetForecaster
2026-03-17,2161748.0319454875,1676567.0634949638,2448116.625408143,total,total,14,ElasticNetForecaster
2026-03-18,2120861.3253817195,1653547.6605926836,3310898.0180709907,total,total,14,ElasticNetForecaster
2026-03-19,2084797.3811402554,1594573.5882517071,3485498.057918879,total,total,14,ElasticNetForecaster
2026-03-20,2059323.032808634,1595157.3574857065,3942436.6673336206,total,total,14,ElasticNetForecaster
2026-03-21,2063927.7867880936,1617944.4974007609,3411027.023817121,total,total,14,ElasticNetForecaster
2026-03-22,1980603.4528685585,1511266.2244265361,2923930.5341293644,total,total,14,ElasticNetForecaster
2026-03-23,1921831.4900344573,1458015.591318875,3094416.7889082,total,total,14,ElasticNetForecaster
2026-03-24,1896533.4809673,1408984.1796484008,3069118.7798410426,total,total,14,ElasticNetForecaster
2026-03-11,2744704.373081593,2259786.5527275554,3662558.3190520722,total,total,30,ElasticNetForecaster
2026-03-12,2647290.1373459273,2200335.954167233,4047990.814124551,total,total,30,ElasticNetForecaster
2026-03-13,2607469.3570246836,2119652.6065488197,3525323.302995163,total,total,30,ElasticNetForecaster
2026-03-14,2551755.96448916,2084442.2997001242,3898855.2015181873,total,total,30,ElasticNetForecaster
2026-03-15,2265096.792515192,1796022.712169656,3612196.0295442194,total,total,30,ElasticNetForecaster
2026-03-16,2194957.89670513,1707408.5953862309,2962735.7788715176,total,total,30,ElasticNetForecaster
2026-03-17,2161748.0319454875,1674198.7306265882,3351784.7246347587,total,total,30,ElasticNetForecaster
2026-03-18,2120861.3253817195,1635943.505027682,3293446.624255462,total,total,30,ElasticNetForecaster
2026-03-19,2084797.3811402554,1599879.560786218,3274834.0738295265,total,total,30,ElasticNetForecaster
2026-03-20,2059323.032808634,1546679.9494854666,2837051.176491253,total,total,30,ElasticNetForecaster
2026-03-21,2063927.7867880936,1578479.369180605,3236513.085661836,total,total,30,ElasticNetForecaster
2026-03-22,1980603.4528685585,1511529.3725230223,2923930.5341293644,total,total,30,ElasticNetForecaster
2026-03-23,1921831.4900344573,1457665.8147115298,3804945.124559444,total,total,30,ElasticNetForecaster
2026-03-24,1896533.4809673,1429219.816178264,3243632.717996327,total,total,30,ElasticNetForecaster
2026-03-25,1869662.3035293743,1402348.6387403384,3059698.9962186455,total,total,30,ElasticNetForecaster
2026-03-26,1849260.9188878336,1363812.501280345,2863640.8337137653,total,total,30,ElasticNetForecaster
2026-03-27,1832468.371048627,1365154.706259591,3233169.047827251,total,total,30,ElasticNetForecaster
2026-03-28,1844692.0809036642,1359511.1124531406,3034728.7735929354,total,total,30,ElasticNetForecaster
2026-03-29,1879366.9106047293,1394185.9421542056,2797220.8565752087,total,total,30,ElasticNetForecaster
2026-03-30,1857538.5309950663,1388201.302553044,2775392.4769655457,total,total,30,ElasticNetForecaster
2026-03-31,1805857.1614336325,1315633.3685450843,3688970.795958619,total,total,30,ElasticNetForecaster
2026-04-01,2705328.444978836,2238014.7801898,3648655.526239642,total,total,30,ElasticNetForecaster
2026-04-02,2590339.6441651327,2121265.5638195965,3368067.7878477518,total,total,30,ElasticNetForecaster
2026-04-03,2517780.3693810813,2073483.2515474374,3690365.668254824,total,total,30,ElasticNetForecaster
2026-04-04,2561783.1904041045,2117781.302053244,3505110.2716649105,total,total,30,ElasticNetForecaster
2026-04-05,2565883.3681740304,2080702.3997235068,3343611.5118566495,total,total,30,ElasticNetForecaster
2026-04-06,2552550.648957868,2067369.6805073444,3742587.3416471393,total,total,30,ElasticNetForecaster
2026-04-07,2554593.826352619,2087280.1615635832,3332321.970035238,total,total,30,ElasticNetForecaster
2026-04-08,2472758.711032111,1987577.7425815875,3662795.4037213824,total,total,30,ElasticNetForecaster
2026-04-09,2465505.7954962663,1980324.8270457427,3243233.9391788854,total,total,30,ElasticNetForecaster
