date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,2744704.1693712594,2259786.3369470355,3632970.838342992,total,total,7,elnet
2026-03-12,2647289.948063113,2202992.8222654783,3464503.7813175167,total,total,7,elnet
2026-03-13,2607469.1758968453,2119778.816606109,3550796.3755061803,total,total,7,elnet
2026-03-14,2551755.74335877,2087590.0494640882,3512534.3503331346,total,total,7,elnet
2026-03-15,2265096.706247839,1777547.3943218128,3208423.905857174,total,total,7,elnet
2026-03-16,2194957.8116384144,1725883.710301784,3384994.4713712167,total,total,7,elnet
2026-03-17,2161747.9475882854,1671689.256745927,3351784.6073210877,total,total,7,elnet
2026-03-11,2744704.1693712594,2278778.0609112894,3688902.298953822,total,total,14,elnet
2026-03-12,2647289.948063113,2179976.2612917707,3464503.7813175167,total,total,14,elnet
2026-03-13,2607469.1758968453,2119778.816606109,3424683.009151249,total,total,14,elnet
2026-03-14,2551755.74335877,2084442.0565874279,2268804.422454146,total,total,14,elnet
2026-03-15,2265096.706247839,1775038.0154054807,3508734.794332941,total,total,14,elnet
2026-03-16,2194957.8116384144,1704734.0095985765,3542057.1376564805,total,total,14,elnet
2026-03-17,2161747.9475882854,1671689.256745927,2317790.559857408,total,total,14,elnet
2026-03-18,2120861.2638842766,1635943.4314600527,2898589.383903861,total,total,14,elnet
2026-03-19,2084797.322919156,1643191.5841098314,3328435.411004258,total,total,14,elnet
2026-03-20,2059322.9758092975,1593396.8673493275,3249359.6355421,total,total,14,elnet
2026-03-21,2063927.738462108,1625067.1028241285,3411027.0644801743,total,total,14,elnet
2026-03-22,1980603.4124192123,1514414.1560090622,2994983.447745876,total,total,14,elnet
2026-03-23,1921831.4305646229,1471080.8764792418,2839685.5132007976,total,total,14,elnet
2026-03-24,1896533.4194387444,1411352.4390643402,3069118.671806517,total,total,14,elnet
2026-03-11,2744704.1693712594,2280538.475476578,3662558.252007434,total,total,30,elnet
2026-03-12,2647289.948063113,2196276.2460275516,4530403.557604166,total,total,30,elnet
2026-03-13,2607469.1758968453,2115003.4439520566,3399209.892178089,total,total,30,elnet
2026-03-14,2551755.74335877,2085566.4869486198,3898855.069376836,total,total,30,elnet
2026-03-15,2265096.706247839,1844044.1807039115,3721728.921229034,total,total,30,elnet
2026-03-16,2194957.8116384144,1709776.8312640102,2886531.701159197,total,total,30,elnet
2026-03-17,2161747.9475882854,1676566.9672138812,3105075.1471976205,total,total,30,elnet
2026-03-18,2120861.2638842766,1672767.7738267705,3364499.3519693785,total,total,30,elnet
2026-03-19,2084797.322919156,1599348.8935333707,2902011.15617356,total,total,30,elnet
2026-03-20,2059322.9758092975,1546679.87471995,2893988.216428731,total,total,30,elnet
2026-03-21,2063927.738462108,1594853.6371254777,3078307.773788772,total,total,30,elnet
2026-03-22,1980603.4124192123,1531963.049885415,2797817.2456736164,total,total,30,elnet
2026-03-23,1921831.4305646229,1449984.8023614802,3804945.0401056763,total,total,30,elnet
2026-03-24,1896533.4194387444,1427196.170151934,2092061.7449426863,total,total,30,elnet
2026-03-25,1869662.2421373916,1403736.1336774216,3326294.4571185866,total,total,30,elnet
2026-03-26,1849260.8590599229,1377414.2308567802,2767114.9416960976,total,total,30,elnet
2026-03-27,1832468.313676217,1385514.1238507074,4274896.529325558,total,total,30,elnet
2026-03-28,1844692.0294879861,1354633.3386456277,3034728.6892207884,total,total,30,elnet
2026-03-29,1879366.799475138,1435364.903013934,2797220.882111313,total,total,30,elnet
2026-03-30,1857538.394400137,1406257.2433531946,2775392.4770363118,total,total,30,elnet
2026-03-31,1805857.03693164,1313391.304986851,3688970.6464726934,total,total,30,elnet
2026-04-01,2705328.289459523,2215269.5986171644,4052427.615477589,total,total,30,elnet
2026-04-02,2590339.4760270594,2126173.782132378,2831685.4080927772,total,total,30,elnet
2026-04-03,2517780.259665098,2078537.773463805,3461107.459274433,total,total,30,elnet
2026-04-04,2561783.092029955,2120549.116890211,2856767.24289106,total,total,30,elnet
2026-04-05,2565883.279211262,2116893.139691169,3454149.9481829945,total,total,30,elnet
2026-04-06,2552550.554850333,2065001.2429243065,3360809.0986351105,total,total,30,elnet
2026-04-07,2554593.733527366,2085256.4842405557,3389258.9741467997,total,total,30,elnet
2026-04-08,2472758.59394197,2008592.900047288,3819857.919960036,total,total,30,elnet
2026-04-09,2465505.6803860567,1975281.8783462187,3234278.510936015,total,total,30,elnet
